"","GEOID","county","state","variable","estimate","moe","variable_description","county_state"
"67","01133","Winston","Alabama","B19301_001",21799,1324,"Income Per Capita","Winston, Alabama"
"68","02013","Aleutians","Borough","B19301_001",32510,2080,"Income Per Capita","Aleutians, Borough"
"69","02016","Aleutians","Census","B19301_001",37070,1927,"Income Per Capita","Aleutians, Census"
"70","02020","Anchorage","Alaska","B19301_001",39839,705,"Income Per Capita","Anchorage, Alaska"
"71","02050","Bethel","Area","B19301_001",19760,868,"Income Per Capita","Bethel, Area"
"72","02060","Bristol","Borough","B19301_001",45259,5682,"Income Per Capita","Bristol, Borough"
"73","02068","Denali","Alaska","B19301_001",34956,8844,"Income Per Capita","Denali, Alaska"
"74","02070","Dillingham","Area","B19301_001",25334,1788,"Income Per Capita","Dillingham, Area"
"75","02090","Fairbanks","Star","B19301_001",36374,1097,"Income Per Capita","Fairbanks, Star"
"76","02100","Haines","Alaska","B19301_001",33521,4342,"Income Per Capita","Haines, Alaska"
"77","02105","Hoonah","Census","B19301_001",35355,4273,"Income Per Capita","Hoonah, Census"
"78","02110","Juneau","and","B19301_001",43276,3061,"Income Per Capita","Juneau, and"
"79","02122","Kenai","Borough","B19301_001",33820,1211,"Income Per Capita","Kenai, Borough"
"80","02130","Ketchikan","Borough","B19301_001",34900,1521,"Income Per Capita","Ketchikan, Borough"
"81","02150","Kodiak","Borough","B19301_001",32516,2332,"Income Per Capita","Kodiak, Borough"
"82","02158","Kusilvak","Area","B19301_001",12578,1809,"Income Per Capita","Kusilvak, Area"
"83","02164","Lake","Peninsula","B19301_001",24571,2556,"Income Per Capita","Lake, Peninsula"
"84","02170","Matanuska","Borough","B19301_001",30943,675,"Income Per Capita","Matanuska, Borough"
"85","02180","Nome","Area","B19301_001",22293,1256,"Income Per Capita","Nome, Area"
"86","02185","North","Borough","B19301_001",49903,3269,"Income Per Capita","North, Borough"
"87","02188","Northwest","Borough","B19301_001",23230,1451,"Income Per Capita","Northwest, Borough"
"88","02195","Petersburg","Alaska","B19301_001",33227,1937,"Income Per Capita","Petersburg, Alaska"
"89","02198","Prince","Wales","B19301_001",27236,1073,"Income Per Capita","Prince, Wales"
"90","02220","Sitka","and","B19301_001",38423,2165,"Income Per Capita","Sitka, and"
"91","02230","Skagway","Alaska","B19301_001",39842,5408,"Income Per Capita","Skagway, Alaska"
"92","02240","Southeast","Census","B19301_001",32409,2306,"Income Per Capita","Southeast, Census"
"93","02261","Valdez","Census","B19301_001",38507,2830,"Income Per Capita","Valdez, Census"
"94","02275","Wrangell","and","B19301_001",31489,2609,"Income Per Capita","Wrangell, and"
"95","02282","Yakutat","and","B19301_001",31878,4039,"Income Per Capita","Yakutat, and"
"96","02290","Yukon","Census","B19301_001",22386,958,"Income Per Capita","Yukon, Census"
"97","04001","Apache","Arizona","B19301_001",14499,496,"Income Per Capita","Apache, Arizona"
"98","04003","Cochise","Arizona","B19301_001",25436,644,"Income Per Capita","Cochise, Arizona"
"99","04005","Coconino","Arizona","B19301_001",26387,706,"Income Per Capita","Coconino, Arizona"
"100","04007","Gila","Arizona","B19301_001",22939,984,"Income Per Capita","Gila, Arizona"
"101","04009","Graham","Arizona","B19301_001",18113,815,"Income Per Capita","Graham, Arizona"
"102","04011","Greenlee","Arizona","B19301_001",25349,2311,"Income Per Capita","Greenlee, Arizona"
"103","04012","La","County","B19301_001",21845,1617,"Income Per Capita","La, County"
"104","04013","Maricopa","Arizona","B19301_001",31697,186,"Income Per Capita","Maricopa, Arizona"
"105","04015","Mohave","Arizona","B19301_001",24829,623,"Income Per Capita","Mohave, Arizona"
"106","04017","Navajo","Arizona","B19301_001",18333,549,"Income Per Capita","Navajo, Arizona"
"107","04019","Pima","Arizona","B19301_001",28480,293,"Income Per Capita","Pima, Arizona"
"108","04021","Pinal","Arizona","B19301_001",23653,442,"Income Per Capita","Pinal, Arizona"
"109","04023","Santa","County","B19301_001",20324,1196,"Income Per Capita","Santa, County"
"110","04025","Yavapai","Arizona","B19301_001",28829,606,"Income Per Capita","Yavapai, Arizona"
"111","04027","Yuma","Arizona","B19301_001",21178,488,"Income Per Capita","Yuma, Arizona"
"112","05001","Arkansas","Arkansas","B19301_001",24714,1620,"Income Per Capita","Arkansas, Arkansas"
"113","05003","Ashley","Arkansas","B19301_001",22052,1852,"Income Per Capita","Ashley, Arkansas"
"114","05005","Baxter","Arkansas","B19301_001",26004,1409,"Income Per Capita","Baxter, Arkansas"
"115","05007","Benton","Arkansas","B19301_001",32624,720,"Income Per Capita","Benton, Arkansas"
"116","05009","Boone","Arkansas","B19301_001",23998,1181,"Income Per Capita","Boone, Arkansas"
"117","05011","Bradley","Arkansas","B19301_001",22411,1184,"Income Per Capita","Bradley, Arkansas"
"118","05013","Calhoun","Arkansas","B19301_001",24509,1515,"Income Per Capita","Calhoun, Arkansas"
"119","05015","Carroll","Arkansas","B19301_001",24185,2057,"Income Per Capita","Carroll, Arkansas"
"120","05017","Chicot","Arkansas","B19301_001",21843,2992,"Income Per Capita","Chicot, Arkansas"
"121","05019","Clark","Arkansas","B19301_001",21571,999,"Income Per Capita","Clark, Arkansas"
"122","05021","Clay","Arkansas","B19301_001",20353,1255,"Income Per Capita","Clay, Arkansas"
"123","05023","Cleburne","Arkansas","B19301_001",26620,1589,"Income Per Capita","Cleburne, Arkansas"
"124","05025","Cleveland","Arkansas","B19301_001",23538,1495,"Income Per Capita","Cleveland, Arkansas"
"125","05027","Columbia","Arkansas","B19301_001",21372,1865,"Income Per Capita","Columbia, Arkansas"
"126","05029","Conway","Arkansas","B19301_001",23750,1588,"Income Per Capita","Conway, Arkansas"
"127","05031","Craighead","Arkansas","B19301_001",26432,1126,"Income Per Capita","Craighead, Arkansas"
"128","05033","Crawford","Arkansas","B19301_001",23851,1611,"Income Per Capita","Crawford, Arkansas"
"129","05035","Crittenden","Arkansas","B19301_001",21882,801,"Income Per Capita","Crittenden, Arkansas"
"130","05037","Cross","Arkansas","B19301_001",24486,2612,"Income Per Capita","Cross, Arkansas"
"131","05039","Dallas","Arkansas","B19301_001",19401,1505,"Income Per Capita","Dallas, Arkansas"
"132","05041","Desha","Arkansas","B19301_001",18475,1388,"Income Per Capita","Desha, Arkansas"
"133","05043","Drew","Arkansas","B19301_001",23005,2059,"Income Per Capita","Drew, Arkansas"
"134","05045","Faulkner","Arkansas","B19301_001",26163,902,"Income Per Capita","Faulkner, Arkansas"
"135","05047","Franklin","Arkansas","B19301_001",20262,1027,"Income Per Capita","Franklin, Arkansas"
"136","05049","Fulton","Arkansas","B19301_001",19413,1486,"Income Per Capita","Fulton, Arkansas"
"137","05051","Garland","Arkansas","B19301_001",26791,1434,"Income Per Capita","Garland, Arkansas"
"138","05053","Grant","Arkansas","B19301_001",25907,2277,"Income Per Capita","Grant, Arkansas"
"139","05055","Greene","Arkansas","B19301_001",22874,867,"Income Per Capita","Greene, Arkansas"
"140","05057","Hempstead","Arkansas","B19301_001",20168,1189,"Income Per Capita","Hempstead, Arkansas"
"141","05059","Hot","County","B19301_001",21064,1413,"Income Per Capita","Hot, County"
"142","05061","Howard","Arkansas","B19301_001",24590,2937,"Income Per Capita","Howard, Arkansas"
"143","05063","Independence","Arkansas","B19301_001",23426,1160,"Income Per Capita","Independence, Arkansas"
"144","05065","Izard","Arkansas","B19301_001",20501,1790,"Income Per Capita","Izard, Arkansas"
"145","05067","Jackson","Arkansas","B19301_001",19848,1917,"Income Per Capita","Jackson, Arkansas"
"146","05069","Jefferson","Arkansas","B19301_001",20925,861,"Income Per Capita","Jefferson, Arkansas"
"147","05071","Johnson","Arkansas","B19301_001",19681,1348,"Income Per Capita","Johnson, Arkansas"
"148","05073","Lafayette","Arkansas","B19301_001",26005,4312,"Income Per Capita","Lafayette, Arkansas"
"149","05075","Lawrence","Arkansas","B19301_001",20451,1144,"Income Per Capita","Lawrence, Arkansas"
"150","05077","Lee","Arkansas","B19301_001",15771,1712,"Income Per Capita","Lee, Arkansas"
"151","05079","Lincoln","Arkansas","B19301_001",13636,1848,"Income Per Capita","Lincoln, Arkansas"
"152","05081","Little","County","B19301_001",26216,2268,"Income Per Capita","Little, County"
"153","05083","Logan","Arkansas","B19301_001",22221,2959,"Income Per Capita","Logan, Arkansas"
"154","05085","Lonoke","Arkansas","B19301_001",26222,742,"Income Per Capita","Lonoke, Arkansas"
"155","05087","Madison","Arkansas","B19301_001",23875,2422,"Income Per Capita","Madison, Arkansas"
"156","05089","Marion","Arkansas","B19301_001",19710,1185,"Income Per Capita","Marion, Arkansas"
"157","05091","Miller","Arkansas","B19301_001",22938,1123,"Income Per Capita","Miller, Arkansas"
"158","05093","Mississippi","Arkansas","B19301_001",20879,920,"Income Per Capita","Mississippi, Arkansas"
"159","05095","Monroe","Arkansas","B19301_001",22274,1746,"Income Per Capita","Monroe, Arkansas"
"160","05097","Montgomery","Arkansas","B19301_001",22347,1985,"Income Per Capita","Montgomery, Arkansas"
"161","05099","Nevada","Arkansas","B19301_001",18618,1569,"Income Per Capita","Nevada, Arkansas"
"162","05101","Newton","Arkansas","B19301_001",18907,1442,"Income Per Capita","Newton, Arkansas"
